Pcp_File_Version=4
    2
    1  0.000000e+000  1.000000e+000  1.000000e+000
    2 -2.000000e+002  1.000000e+000  1.000000e+000
  101    0    0    1 x         h      Mat  Lay      Beta           Axz            Bxz            Dxz          Temp          Conc 
    1 -0.000000e+000 -1.670000e+002    1    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    2 -2.000000e+000 -1.645470e+002    1    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    3 -4.000000e+000 -1.620940e+002    1    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    4 -6.000000e+000 -1.596420e+002    1    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    5 -8.000000e+000 -1.571890e+002    1    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    6 -1.000000e+001 -1.547360e+002    1    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    7 -1.200000e+001 -1.522830e+002    1    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    8 -1.400000e+001 -1.498310e+002    1    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
    9 -1.600000e+001 -1.473780e+002    1    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   10 -1.800000e+001 -1.449250e+002    1    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   11 -2.000000e+001 -1.424730e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   12 -2.200000e+001 -1.400200e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   13 -2.400000e+001 -1.375670e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   14 -2.600000e+001 -1.351140e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   15 -2.800000e+001 -1.326610e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   16 -3.000000e+001 -1.302090e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   17 -3.200000e+001 -1.277560e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   18 -3.400000e+001 -1.253030e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   19 -3.600000e+001 -1.228510e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   20 -3.800000e+001 -1.203980e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   21 -4.000000e+001 -1.179450e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   22 -4.200000e+001 -1.154920e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   23 -4.400000e+001 -1.130390e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   24 -4.600000e+001 -1.105870e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   25 -4.800000e+001 -1.081340e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   26 -5.000000e+001 -1.056810e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   27 -5.200000e+001 -1.032290e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   28 -5.400000e+001 -1.007760e+002    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   29 -5.600000e+001 -9.832300e+001    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   30 -5.800000e+001 -9.587020e+001    2    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   31 -6.000000e+001 -9.341750e+001    3    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   32 -6.200000e+001 -9.096480e+001    3    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   33 -6.400000e+001 -8.851200e+001    3    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   34 -6.600000e+001 -8.605920e+001    3    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   35 -6.800000e+001 -8.360650e+001    3    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   36 -7.000000e+001 -8.115370e+001    3    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   37 -7.200000e+001 -7.870100e+001    3    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   38 -7.400000e+001 -7.624830e+001    3    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   39 -7.600000e+001 -7.379550e+001    3    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
   40 -7.800000e+001 -7.134280e+001    3    1  0.000000e+000  1.000000e+000  1.000000e+000  1.000000e+000              
