 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2025    Time:  15:11:27
 Units: L = cm   , T = hours, M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  97  -192.0000      63.651 0.4060   0.4292E+00  0.0000E+00 -0.4519E-02  0.0000E+00      -1  -0.657E-02   20.00
  98  -194.0000      65.630 0.4060   0.4292E+00  0.0000E+00 -0.4519E-02  0.0000E+00      -1  -0.657E-02   20.00
  99  -196.0000      67.609 0.4060   0.4292E+00  0.0000E+00 -0.4519E-02  0.0000E+00      -1  -0.657E-02   20.00
 100  -198.0000      69.588 0.4060   0.4292E+00  0.0000E+00 -0.4518E-02  0.0000E+00      -1  -0.657E-02   20.00
 101  -200.0000      71.567 0.4060   0.4292E+00  0.0000E+00 -0.4517E-02  0.0000E+00      -1  -0.657E-02   20.00
end


 Time:      744.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000    -142.787 0.3866   0.8002E-02  0.4341E-03  0.8149E-09  0.0000E+00      -1   0.119E-08   20.00
   2    -2.0000    -140.382 0.3877   0.8292E-02  0.4388E-03  0.3261E-02  0.0000E+00      -1   0.474E-02   20.00
   3    -4.0000    -137.233 0.3891   0.8671E-02  0.4450E-03  0.6375E-02  0.0000E+00      -1   0.927E-02   20.00
   4    -6.0000    -133.463 0.3908   0.9124E-02  0.4523E-03  0.9203E-02  0.0000E+00      -1   0.134E-01   20.00
   5    -8.0000    -129.217 0.3927   0.9635E-02  0.4606E-03  0.1166E-01  0.0000E+00      -1   0.170E-01   20.00
   6   -10.0000    -124.638 0.3947   0.1019E-01  0.4695E-03  0.1369E-01  0.0000E+00      -1   0.199E-01   20.00
   7   -12.0000    -119.856 0.3969   0.1082E-01  0.4790E-03  0.1535E-01  0.0000E+00      -1   0.223E-01   20.00
   8   -14.0000    -115.016 0.3993   0.1186E-01  0.4900E-03  0.1670E-01  0.0000E+00      -1   0.243E-01   20.00
   9   -16.0000    -110.221 0.4017   0.1289E-01  0.5009E-03  0.1771E-01  0.0000E+00      -1   0.258E-01   20.00
  10   -18.0000    -105.513 0.4041   0.1390E-01  0.5116E-03  0.1841E-01  0.0000E+00      -1   0.268E-01   20.00
  11   -20.0000    -101.171 0.3076   0.1801E-01  0.6601E-03  0.1890E-01  0.0000E+00      -1   0.275E-01   20.00
  12   -22.0000     -97.117 0.3102   0.1922E-01  0.6688E-03  0.1924E-01  0.0000E+00      -1   0.280E-01   20.00
  13   -24.0000     -93.184 0.3129   0.2084E-01  0.6752E-03  0.1941E-01  0.0000E+00      -1   0.282E-01   20.00
  14   -26.0000     -89.398 0.3155   0.2273E-01  0.6798E-03  0.1944E-01  0.0000E+00      -1   0.283E-01   20.00
  15   -28.0000     -85.754 0.3180   0.2455E-01  0.6842E-03  0.1938E-01  0.0000E+00      -1   0.282E-01   20.00
  16   -30.0000     -82.234 0.3204   0.2631E-01  0.6884E-03  0.1925E-01  0.0000E+00      -1   0.280E-01   20.00
  17   -32.0000     -78.823 0.3227   0.2801E-01  0.6925E-03  0.1907E-01  0.0000E+00      -1   0.277E-01   20.00
  18   -34.0000     -75.508 0.3250   0.2970E-01  0.6963E-03  0.1885E-01  0.0000E+00      -1   0.274E-01   20.00
  19   -36.0000     -72.297 0.3272   0.3219E-01  0.6952E-03  0.1862E-01  0.0000E+00      -1   0.271E-01   20.00
  20   -38.0000     -69.189 0.3294   0.3459E-01  0.6941E-03  0.1838E-01  0.0000E+00      -1   0.267E-01   20.00
  21   -40.0000     -66.168 0.3315   0.3692E-01  0.6931E-03  0.1814E-01  0.0000E+00      -1   0.264E-01   20.00
  22   -42.0000     -63.221 0.3336   0.3920E-01  0.6920E-03  0.1790E-01  0.0000E+00      -1   0.260E-01   20.00
  23   -44.0000     -60.339 0.3356   0.4143E-01  0.6910E-03  0.1766E-01  0.0000E+00      -1   0.257E-01   20.00
  24   -46.0000     -57.522 0.3375   0.4443E-01  0.6851E-03  0.1744E-01  0.0000E+00      -1   0.254E-01   20.00
  25   -48.0000     -54.767 0.3393   0.4749E-01  0.6785E-03  0.1723E-01  0.0000E+00      -1   0.251E-01   20.00
  26   -50.0000     -52.068 0.3412   0.5049E-01  0.6721E-03  0.1703E-01  0.0000E+00      -1   0.248E-01   20.00
  27   -52.0000     -49.416 0.3430   0.5344E-01  0.6657E-03  0.1684E-01  0.0000E+00      -1   0.245E-01   20.00
  28   -54.0000     -46.808 0.3447   0.5662E-01  0.6579E-03  0.1667E-01  0.0000E+00      -1   0.243E-01   20.00
  29   -56.0000     -44.241 0.3464   0.6049E-01  0.6458E-03  0.1652E-01  0.0000E+00      -1   0.240E-01   20.00
  30   -58.0000     -41.714 0.3480   0.6430E-01  0.6340E-03  0.1637E-01  0.0000E+00      -1   0.238E-01   20.00
  31   -60.0000     -39.356 0.3721   0.1181E+00  0.1423E-02  0.1615E-01  0.0000E+00      -1   0.235E-01   20.00
  32   -62.0000     -37.096 0.3753   0.1275E+00  0.1395E-02  0.1585E-01  0.0000E+00      -1   0.231E-01   20.00
  33   -64.0000     -34.860 0.3783   0.1390E+00  0.1351E-02  0.1558E-01  0.0000E+00      -1   0.227E-01   20.00
  34   -66.0000     -32.646 0.3812   0.1505E+00  0.1308E-02  0.1532E-01  0.0000E+00      -1   0.223E-01   20.00
  35   -68.0000     -30.452 0.3842   0.1618E+00  0.1265E-02  0.1506E-01  0.0000E+00      -1   0.219E-01   20.00
  36   -70.0000     -28.274 0.3868   0.1750E+00  0.1208E-02  0.1483E-01  0.0000E+00      -1   0.216E-01   20.00
  37   -72.0000     -26.113 0.3893   0.1889E+00  0.1146E-02  0.1460E-01  0.0000E+00      -1   0.212E-01   20.00
  38   -74.0000     -23.965 0.3919   0.2027E+00  0.1085E-02  0.1438E-01  0.0000E+00      -1   0.209E-01   20.00
  39   -76.0000     -21.829 0.3940   0.2185E+00  0.1011E-02  0.1418E-01  0.0000E+00      -1   0.206E-01   20.00
  40   -78.0000     -19.705 0.3961   0.2345E+00  0.9347E-03  0.1399E-01  0.0000E+00      -1   0.203E-01   20.00
  41   -80.0000     -17.590 0.3980   0.2515E+00  0.8529E-03  0.1382E-01  0.0000E+00      -1   0.201E-01   20.00
  42   -82.0000     -15.485 0.3998   0.2692E+00  0.7664E-03  0.1365E-01  0.0000E+00      -1   0.199E-01   20.00
  43   -84.0000     -13.387 0.4013   0.2880E+00  0.6746E-03  0.1351E-01  0.0000E+00      -1   0.196E-01   20.00
  44   -86.0000     -11.297 0.4026   0.3075E+00  0.5794E-03  0.1338E-01  0.0000E+00      -1   0.195E-01   20.00
  45   -88.0000      -9.213 0.4037   0.3278E+00  0.4801E-03  0.1328E-01  0.0000E+00      -1   0.193E-01   20.00
  46   -90.0000      -7.135 0.4046   0.3491E+00  0.3770E-03  0.1319E-01  0.0000E+00      -1   0.192E-01   20.00
  47   -92.0000      -5.062 0.4053   0.3711E+00  0.2711E-03  0.1313E-01  0.0000E+00      -1   0.191E-01   20.00
  48   -94.0000      -2.994 0.4058   0.3940E+00  0.1627E-03  0.1308E-01  0.0000E+00      -1   0.190E-01   20.00
  49   -96.0000      -0.929 0.4060   0.4179E+00  0.5151E-04  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  50   -98.0000       1.132 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  51  -100.0000       3.193 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  52  -102.0000       5.254 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  53  -104.0000       7.315 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  54  -106.0000       9.376 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  55  -108.0000      11.436 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  56  -110.0000      13.497 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  57  -112.0000      15.558 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  58  -114.0000      17.619 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  59  -116.0000      19.680 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  60  -118.0000      21.740 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  61  -120.0000      23.801 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  62  -122.0000      25.862 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  63  -124.0000      27.923 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  64  -126.0000      29.984 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  65  -128.0000      32.044 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  66  -130.0000      34.105 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  67  -132.0000      36.166 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  68  -134.0000      38.227 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  69  -136.0000      40.288 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  70  -138.0000      42.348 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  71  -140.0000      44.409 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  72  -142.0000      46.470 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  73  -144.0000      48.531 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  74  -146.0000      50.591 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  75  -148.0000      52.652 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  76  -150.0000      54.713 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  77  -152.0000      56.774 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  78  -154.0000      58.835 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  79  -156.0000      60.895 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  80  -158.0000      62.956 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  81  -160.0000      65.017 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  82  -162.0000      67.078 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  83  -164.0000      69.139 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  84  -166.0000      71.199 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  85  -168.0000      73.260 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  86  -170.0000      75.321 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  87  -172.0000      77.382 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  88  -174.0000      79.443 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  89  -176.0000      81.503 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  90  -178.0000      83.564 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  91  -180.0000      85.625 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  92  -182.0000      87.686 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  93  -184.0000      89.747 0.4060   0.4292E+00  0.0000E+00  0.1304E-01  0.0000E+00      -1   0.190E-01   20.00
  94  -186.0000      91.807 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  95  -188.0000      93.868 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  96  -190.0000      95.929 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  97  -192.0000      97.990 0.4060   0.4292E+00  0.0000E+00  0.1304E-01  0.0000E+00      -1   0.190E-01   20.00
  98  -194.0000     100.051 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
  99  -196.0000     102.111 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
 100  -198.0000     104.172 0.4060   0.4292E+00  0.0000E+00  0.1305E-01  0.0000E+00      -1   0.190E-01   20.00
 101  -200.0000     106.233 0.4060   0.4292E+00  0.0000E+00  0.1304E-01  0.0000E+00      -1   0.190E-01   20.00
end
