 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26.11.2025    Time:  15:11:27
 Units: L = cm   , T = hours, M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  47   -92.0000     -54.174 0.3501   0.7004E-01  0.1503E-02  0.1586E-01  0.0000E+00      -1   0.231E-01   20.00
  48   -94.0000     -51.721 0.3538   0.7628E-01  0.1503E-02  0.1727E-01  0.0000E+00      -1   0.251E-01   20.00
  49   -96.0000     -49.268 0.3575   0.8252E-01  0.1502E-02  0.1873E-01  0.0000E+00      -1   0.272E-01   20.00
  50   -98.0000     -46.815 0.3612   0.8964E-01  0.1495E-02  0.2042E-01  0.0000E+00      -1   0.297E-01   20.00
  51  -100.0000     -44.362 0.3647   0.9900E-01  0.1471E-02  0.2241E-01  0.0000E+00      -1   0.326E-01   20.00
  52  -102.0000     -41.910 0.3683   0.1084E+00  0.1447E-02  0.2453E-01  0.0000E+00      -1   0.357E-01   20.00
  53  -104.0000     -39.457 0.3719   0.1177E+00  0.1424E-02  0.2670E-01  0.0000E+00      -1   0.388E-01   20.00
  54  -106.0000     -37.004 0.3754   0.1279E+00  0.1393E-02  0.2910E-01  0.0000E+00      -1   0.423E-01   20.00
  55  -108.0000     -34.551 0.3787   0.1406E+00  0.1345E-02  0.3183E-01  0.0000E+00      -1   0.463E-01   20.00
  56  -110.0000     -32.099 0.3820   0.1533E+00  0.1297E-02  0.3471E-01  0.0000E+00      -1   0.505E-01   20.00
  57  -112.0000     -29.646 0.3852   0.1662E+00  0.1247E-02  0.3778E-01  0.0000E+00      -1   0.549E-01   20.00
  58  -114.0000     -27.193 0.3881   0.1819E+00  0.1177E-02  0.4118E-01  0.0000E+00      -1   0.599E-01   20.00
  59  -116.0000     -24.740 0.3909   0.1977E+00  0.1107E-02  0.4484E-01  0.0000E+00      -1   0.652E-01   20.00
  60  -118.0000     -22.288 0.3936   0.2150E+00  0.1027E-02  0.4873E-01  0.0000E+00      -1   0.709E-01   20.00
  61  -120.0000     -19.835 0.3960   0.2334E+00  0.9396E-03  0.5292E-01  0.0000E+00      -1   0.770E-01   20.00
  62  -122.0000     -17.382 0.3982   0.2531E+00  0.8447E-03  0.5736E-01  0.0000E+00      -1   0.834E-01   20.00
  63  -124.0000     -14.929 0.4002   0.2739E+00  0.7439E-03  0.6208E-01  0.0000E+00      -1   0.903E-01   20.00
  64  -126.0000     -12.477 0.4019   0.2963E+00  0.6341E-03  0.6713E-01  0.0000E+00      -1   0.976E-01   20.00
  65  -128.0000     -10.024 0.4033   0.3198E+00  0.5193E-03  0.7246E-01  0.0000E+00      -1   0.105E+00   20.00
  66  -130.0000      -7.571 0.4045   0.3444E+00  0.3994E-03  0.7805E-01  0.0000E+00      -1   0.114E+00   20.00
  67  -132.0000      -5.119 0.4053   0.3704E+00  0.2745E-03  0.8392E-01  0.0000E+00      -1   0.122E+00   20.00
  68  -134.0000      -2.666 0.4058   0.3976E+00  0.1458E-03  0.9011E-01  0.0000E+00      -1   0.131E+00   20.00
  69  -136.0000      -0.213 0.4060   0.4265E+00  0.1234E-04  0.9506E-01  0.0000E+00      -1   0.138E+00   20.00
  70  -138.0000       2.240 0.4060   0.4292E+00  0.0000E+00  0.9700E-01  0.0000E+00      -1   0.141E+00   20.00
  71  -140.0000       4.693 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  72  -142.0000       7.145 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  73  -144.0000       9.598 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  74  -146.0000      12.051 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  75  -148.0000      14.503 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  76  -150.0000      16.956 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  77  -152.0000      19.409 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  78  -154.0000      21.862 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  79  -156.0000      24.315 0.4060   0.4292E+00  0.0000E+00  0.9716E-01  0.0000E+00      -1   0.141E+00   20.00
  80  -158.0000      26.767 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  81  -160.0000      29.220 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  82  -162.0000      31.673 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  83  -164.0000      34.125 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  84  -166.0000      36.578 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  85  -168.0000      39.031 0.4060   0.4292E+00  0.0000E+00  0.9714E-01  0.0000E+00      -1   0.141E+00   20.00
  86  -170.0000      41.484 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  87  -172.0000      43.937 0.4060   0.4292E+00  0.0000E+00  0.9716E-01  0.0000E+00      -1   0.141E+00   20.00
  88  -174.0000      46.389 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  89  -176.0000      48.842 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  90  -178.0000      51.295 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  91  -180.0000      53.748 0.4060   0.4292E+00  0.0000E+00  0.9714E-01  0.0000E+00      -1   0.141E+00   20.00
  92  -182.0000      56.200 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  93  -184.0000      58.653 0.4060   0.4292E+00  0.0000E+00  0.9716E-01  0.0000E+00      -1   0.141E+00   20.00
  94  -186.0000      61.106 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  95  -188.0000      63.558 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  96  -190.0000      66.011 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  97  -192.0000      68.464 0.4060   0.4292E+00  0.0000E+00  0.9714E-01  0.0000E+00      -1   0.141E+00   20.00
  98  -194.0000      70.917 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
  99  -196.0000      73.369 0.4060   0.4292E+00  0.0000E+00  0.9716E-01  0.0000E+00      -1   0.141E+00   20.00
 100  -198.0000      75.822 0.4060   0.4292E+00  0.0000E+00  0.9715E-01  0.0000E+00      -1   0.141E+00   20.00
 101  -200.0000      78.275 0.4060   0.4292E+00  0.0000E+00  0.9714E-01  0.0000E+00      -1   0.141E+00   20.00
end


 Time:      521.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000     -37.815 0.4437   0.5725E-01  0.6533E-03  0.3814E-02  0.0000E+00      -1   0.555E-02   20.00
   2    -2.0000     -36.025 0.4449   0.6063E-01  0.6537E-03 -0.1605E-01  0.0000E+00      -1  -0.234E-01   20.00
   3    -4.0000     -34.864 0.4457   0.6298E-01  0.6537E-03 -0.3553E-01  0.0000E+00      -1  -0.517E-01   20.00
   4    -6.0000     -34.283 0.4461   0.6418E-01  0.6538E-03 -0.5419E-01  0.0000E+00      -1  -0.788E-01   20.00
   5    -8.0000     -34.253 0.4461   0.6428E-01  0.6538E-03 -0.7165E-01  0.0000E+00      -1  -0.104E+00   20.00
   6   -10.0000     -34.761 0.4458   0.6332E-01  0.6537E-03 -0.8753E-01  0.0000E+00      -1  -0.127E+00   20.00
   7   -12.0000     -35.812 0.4451   0.6129E-01  0.6537E-03 -0.1015E+00  0.0000E+00      -1  -0.148E+00   20.00
   8   -14.0000     -37.425 0.4441   0.5815E-01  0.6537E-03 -0.1131E+00  0.0000E+00      -1  -0.165E+00   20.00
   9   -16.0000     -39.606 0.4427   0.5507E-01  0.6515E-03 -0.1221E+00  0.0000E+00      -1  -0.178E+00   20.00
  10   -18.0000     -42.338 0.4409   0.5134E-01  0.6484E-03 -0.1280E+00  0.0000E+00      -1  -0.186E+00   20.00
  11   -20.0000     -45.036 0.3459   0.5943E-01  0.6491E-03 -0.1306E+00  0.0000E+00      -1  -0.190E+00   20.00
  12   -22.0000     -47.597 0.3443   0.5561E-01  0.6610E-03 -0.1303E+00  0.0000E+00      -1  -0.189E+00   20.00
  13   -24.0000     -50.383 0.3424   0.5251E-01  0.6677E-03 -0.1271E+00  0.0000E+00      -1  -0.185E+00   20.00
  14   -26.0000     -53.291 0.3404   0.4928E-01  0.6747E-03 -0.1215E+00  0.0000E+00      -1  -0.177E+00   20.00
  15   -28.0000     -56.251 0.3384   0.4598E-01  0.6817E-03 -0.1138E+00  0.0000E+00      -1  -0.166E+00   20.00
  16   -30.0000     -59.190 0.3364   0.4269E-01  0.6888E-03 -0.1045E+00  0.0000E+00      -1  -0.152E+00   20.00
  17   -32.0000     -61.987 0.3344   0.4022E-01  0.6916E-03 -0.9408E-01  0.0000E+00      -1  -0.137E+00   20.00
  18   -34.0000     -64.509 0.3327   0.3825E-01  0.6924E-03 -0.8337E-01  0.0000E+00      -1  -0.121E+00   20.00
  19   -36.0000     -66.681 0.3312   0.3656E-01  0.6932E-03 -0.7289E-01  0.0000E+00      -1  -0.106E+00   20.00
  20   -38.0000     -68.460 0.3299   0.3517E-01  0.6938E-03 -0.6298E-01  0.0000E+00      -1  -0.916E-01   20.00
  21   -40.0000     -69.820 0.3290   0.3411E-01  0.6943E-03 -0.5388E-01  0.0000E+00      -1  -0.784E-01   20.00
  22   -42.0000     -70.758 0.3283   0.3338E-01  0.6947E-03 -0.4574E-01  0.0000E+00      -1  -0.665E-01   20.00
