"","time (hours)","N1 matric potential (hPa)","N1 theta (m³/m³)","N1 flux (cm/h)","N2 matric potential (hPa)","N2 theta (m³/m³)","N2 flux (cm/h)","N3 matric potential (hPa)","N3 theta (m³/m³)","N3 flux (cm/h)"
"776",347.7825,-69.42,0.3816,-0.0292,-42.04,0.3305,-0.00246,-3.88,0.4107,-0.0015
"777",348,-68.83,0.3821,-0.0327,-42.02,0.3305,-0.00269,-3.87,0.4107,-0.00155
"778",348.024,-68.76,0.3821,-0.0328,-42.02,0.3305,-0.0027,-3.89,0.4107,-0.00351
"779",348.0552,-68.7,0.3822,-0.0323,-42.01,0.3306,-0.00274,-3.91,0.4106,-0.00413
"780",348.0958,-68.63,0.3822,-0.0311,-42.01,0.3306,-0.00279,-3.94,0.4106,-0.00457
"781",348.1485,-68.58,0.3823,-0.0294,-42,0.3306,-0.00287,-3.96,0.4106,-0.00462
"782",348.217,-68.53,0.3823,-0.0275,-41.99,0.3306,-0.00298,-3.98,0.4106,-0.00463
"783",348.304,-68.49,0.3823,-0.0256,-41.97,0.3306,-0.00312,-4.01,0.4106,-0.0046
"784",348.42,-68.45,0.3823,-0.0239,-41.94,0.3306,-0.00333,-4.03,0.4106,-0.00455
"785",348.565,-68.39,0.3824,-0.0224,-41.89,0.3307,-0.0036,-4.06,0.4105,-0.00447
"786",348.7825,-68.31,0.3825,-0.0212,-41.81,0.3308,-0.00398,-4.09,0.4105,-0.00436
"787",349,-68.21,0.3825,-0.0204,-41.72,0.3309,-0.00432,-4.11,0.4105,-0.00426
"788",349.024,-68.2,0.3825,-0.0201,-41.72,0.3309,-0.00437,-4.11,0.4105,-0.00324
"789",349.0552,-68.19,0.3825,-0.0197,-41.7,0.3309,-0.00441,-4.09,0.4105,-0.00275
"790",349.0958,-68.19,0.3825,-0.019,-41.69,0.3309,-0.00448,-4.08,0.4105,-0.00237
"791",349.1485,-68.19,0.3825,-0.018,-41.66,0.3309,-0.00456,-4.07,0.4105,-0.0022
"792",349.217,-68.21,0.3825,-0.0169,-41.64,0.331,-0.00465,-4.05,0.4105,-0.0021
"793",349.304,-68.23,0.3825,-0.0158,-41.6,0.331,-0.00477,-4.04,0.4106,-0.00206
"794",349.42,-68.25,0.3825,-0.0146,-41.55,0.3311,-0.00491,-4.03,0.4106,-0.00205
"795",349.565,-68.27,0.3825,-0.0136,-41.49,0.3311,-0.00507,-4.02,0.4106,-0.00206
"796",349.7825,-68.29,0.3825,-0.0126,-41.41,0.3312,-0.00525,-4,0.4106,-0.00209
"797",350,-68.3,0.3825,-0.0119,-41.33,0.3313,-0.0054,-3.99,0.4106,-0.00213
"798",350.25,-68.56,0.3823,-0.0061,-41.24,0.3314,-0.00549,-4.02,0.4106,-0.00287
"799",350.625,-68.91,0.382,-0.00168,-41.14,0.3315,-0.00549,-4.02,0.4106,-0.00293
"800",351,-69.28,0.3817,0.00158,-41.08,0.3316,-0.00537,-4.03,0.4106,-0.00296
"801",351.5,-69.63,0.3815,0.00298,-41.04,0.3317,-0.00506,-4.1,0.4105,-0.00403
"802",352,-69.95,0.3812,0.00403,-41.03,0.3317,-0.00468,-4.13,0.4105,-0.00402
"803",352.024,-69.95,0.3812,0.00238,-41.03,0.3317,-0.00467,-4.14,0.4105,-0.00428
"804",352.0552,-69.87,0.3813,-0.00216,-41.03,0.3317,-0.00464,-4.14,0.4105,-0.00434
"805",352.0958,-69.67,0.3814,-0.0108,-41.03,0.3317,-0.00461,-4.15,0.4105,-0.0044
"806",352.1485,-69.27,0.3817,-0.0229,-41.03,0.3317,-0.00457,-4.15,0.4105,-0.00441
"807",352.217,-68.63,0.3822,-0.0374,-41.04,0.3317,-0.00452,-4.16,0.4105,-0.00442
"808",352.304,-67.75,0.3829,-0.0524,-41.04,0.3317,-0.00447,-4.17,0.4105,-0.0044
"809",352.42,-66.58,0.3837,-0.0674,-41.04,0.3317,-0.00448,-4.18,0.4105,-0.00438
"810",352.565,-65.18,0.3848,-0.0811,-41.02,0.3317,-0.00463,-4.18,0.4104,-0.00436
"811",352.7825,-63.29,0.3862,-0.0945,-40.95,0.3317,-0.00525,-4.19,0.4104,-0.00432
"812",353,-61.58,0.3875,-0.104,-40.82,0.3319,-0.00624,-4.2,0.4104,-0.00429
"813",353.25,-62,0.3873,-0.0637,-40.6,0.3321,-0.00762,-4.16,0.4105,-0.00314
"814",353.625,-62.65,0.3867,-0.0383,-40.19,0.3326,-0.00942,-4.13,0.4105,-0.00308
"815",354,-63.57,0.386,-0.0198,-39.8,0.333,-0.0107,-4.11,0.4105,-0.00311
"816",354.5,-64.23,0.3855,-0.0123,-39.38,0.3335,-0.0113,-4.13,0.4105,-0.00393
"817",355,-64.8,0.3851,-0.00734,-39.08,0.3339,-0.0113,-4.12,0.4105,-0.00405
"818",355.5,-65.14,0.3848,-0.00573,-38.88,0.3341,-0.0109,-4.07,0.4105,-0.00344
"819",356,-65.44,0.3846,-0.00445,-38.76,0.3342,-0.0104,-4.03,0.4106,-0.0036
"820",357,-65.85,0.3843,-0.0034,-38.69,0.3343,-0.00942,-3.99,0.4106,-0.0043
"821",358,-66.21,0.384,-0.00269,-38.69,0.3343,-0.00855,-3.92,0.4106,-0.00462
"822",359,-66.51,0.3838,-0.00231,-38.74,0.3342,-0.00783,-3.86,0.4107,-0.00489
"823",360,-66.78,0.3836,-0.00204,-38.82,0.3341,-0.00722,-3.77,0.4108,-0.00488
"824",361,-67.03,0.3834,-0.00185,-38.91,0.334,-0.00672,-3.75,0.4108,-0.0055
"825",362,-67.25,0.3832,-0.0017,-39.02,0.3339,-0.00629,-3.76,0.4108,-0.00607
"826",363,-67.46,0.3831,-0.00158,-39.12,0.3338,-0.00593,-3.64,0.4108,-0.00509
"827",364,-67.65,0.3829,-0.00148,-39.23,0.3337,-0.00561,-3.52,0.4109,-0.00442
"828",365,-67.84,0.3828,-0.00139,-39.33,0.3336,-0.00531,-3.38,0.411,-0.00393
"829",366,-68.01,0.3827,-0.00131,-39.44,0.3335,-0.00504,-3.32,0.4111,-0.00434
"830",367,-68.18,0.3825,-0.00124,-39.53,0.3333,-0.00479,-3.24,0.4111,-0.0041
"831",368,-68.51,0.3823,0.00055,-39.65,0.3332,-0.00447,-3.26,0.4111,-0.00491
"832",369,-69.11,0.3819,0.00439,-39.8,0.333,-0.00398,-3.26,0.4111,-0.00502
"833",370,-69.91,0.3813,0.00862,-40.03,0.3328,-0.0033,-3.57,0.4109,-0.00795
"834",371,-70.86,0.3806,0.0126,-40.33,0.3325,-0.00247,-3.71,0.4108,-0.00783
"835",372,-71.88,0.3798,0.0158,-40.7,0.332,-0.00153,-3.73,0.4108,-0.00641
"836",373,-72.9,0.379,0.018,-41.14,0.3315,-0.000564,-3.72,0.4108,-0.0054
"837",373.024,-72.88,0.379,0.0156,-41.14,0.3315,-0.000548,-3.72,0.4108,-0.00531
"838",373.0552,-72.77,0.3791,0.00848,-41.15,0.3315,-0.000516,-3.72,0.4108,-0.00529
"839",373.0958,-72.43,0.3794,-0.00543,-41.17,0.3315,-0.000479,-3.72,0.4108,-0.00527
"840",373.1485,-71.77,0.3799,-0.0257,-41.2,0.3315,-0.000428,-3.72,0.4108,-0.00526
"841",373.217,-70.66,0.3807,-0.051,-41.23,0.3314,-0.000371,-3.72,0.4108,-0.00525
"842",373.304,-69.12,0.3818,-0.0778,-41.26,0.3314,-0.000326,-3.72,0.4108,-0.00523
"843",373.42,-67.05,0.3834,-0.105,-41.31,0.3314,-0.000361,-3.72,0.4108,-0.00522
"844",373.565,-64.6,0.3852,-0.13,-41.34,0.3313,-0.000631,-3.72,0.4108,-0.00519
"845",373.7825,-61.33,0.3877,-0.155,-41.29,0.3314,-0.00169,-3.72,0.4108,-0.00515
"846",374,-58.33,0.3899,-0.174,-41.15,0.3315,-0.0034,-3.73,0.4108,-0.00511
"847",374.25,-59.38,0.3894,-0.0957,-40.84,0.3319,-0.00583,-3.83,0.4107,-0.0072
"848",374.625,-60.65,0.3882,-0.0506,-40.24,0.3325,-0.00901,-3.9,0.4107,-0.00706
"849",375,-62.37,0.3869,-0.0186,-39.66,0.3332,-0.0111,-3.96,0.4106,-0.00679
"850",375.5,-63.21,0.3862,-0.0129,-39.07,0.3339,-0.0122,-3.97,0.4106,-0.00602
"851",376,-63.97,0.3857,-0.00704,-38.65,0.3343,-0.0123,-3.99,0.4106,-0.00586
"852",376.5,-64.75,0.3851,7.36e-05,-38.41,0.3346,-0.0118,-3.98,0.4106,-0.00546
"853",377,-65.42,0.3846,0.00382,-38.3,0.3347,-0.011,-3.98,0.4106,-0.00549
"854",378,-66.22,0.384,0.0042,-38.34,0.3347,-0.00935,-3.98,0.4106,-0.00605
"855",379,-66.62,0.3837,0.00177,-38.46,0.3346,-0.00807,-3.88,0.4107,-0.00544
"856",380,-66.83,0.3835,-0.000515,-38.62,0.3344,-0.00722,-4.08,0.4105,-0.00813
"857",380.024,-66.82,0.3836,-0.00302,-38.62,0.3344,-0.00715,-4.05,0.4105,-0.00774
"858",380.0552,-66.69,0.3836,-0.00935,-38.62,0.3344,-0.00714,-4.05,0.4105,-0.00762
"859",380.0958,-66.4,0.3839,-0.0211,-38.63,0.3344,-0.0071,-4.05,0.4105,-0.00751
"860",380.1485,-65.86,0.3843,-0.037,-38.64,0.3343,-0.00706,-4.05,0.4105,-0.00747
"861",380.217,-65.03,0.3849,-0.0556,-38.65,0.3343,-0.00702,-4.05,0.4105,-0.00744
"862",380.304,-63.9,0.3857,-0.0746,-38.66,0.3343,-0.00701,-4.05,0.4105,-0.00743
"863",380.42,-62.41,0.3869,-0.0933,-38.67,0.3343,-0.00711,-4.06,0.4105,-0.00742
"864",380.565,-60.67,0.3882,-0.11,-38.65,0.3343,-0.00747,-4.06,0.4105,-0.00742
"865",380.7825,-58.32,0.3899,-0.128,-38.55,0.3344,-0.00864,-4.06,0.4105,-0.00741
"866",381,-56.18,0.3914,-0.141,-38.35,0.3347,-0.0104,-4.06,0.4105,-0.00741
"867",381.25,-56.88,0.3911,-0.0833,-38.02,0.335,-0.0127,-4.02,0.4106,-0.00658
"868",381.625,-57.7,0.3903,-0.0504,-37.45,0.3357,-0.0154,-4,0.4106,-0.00657
"869",382,-58.8,0.3895,-0.0275,-36.94,0.3364,-0.0172,-3.98,0.4106,-0.00664
"870",382.5,-59.65,0.3889,-0.0175,-36.42,0.337,-0.018,-4.05,0.4106,-0.00828
"871",383,-60.36,0.3884,-0.0112,-36.06,0.3375,-0.0178,-4.06,0.4105,-0.0084
"872",383.5,-60.85,0.388,-0.00841,-35.83,0.3378,-0.0171,-4.06,0.4105,-0.0084
"873",384,-61.27,0.3877,-0.00658,-35.71,0.3379,-0.0162,-4.05,0.4105,-0.00855
"874",384.024,-61.28,0.3877,-0.00754,-35.69,0.3379,-0.0162,-4.05,0.4105,-0.00874
"875",384.0552,-61.25,0.3877,-0.0101,-35.69,0.3379,-0.0161,-4.05,0.4105,-0.00885
"876",384.0958,-61.17,0.3878,-0.0147,-35.68,0.3379,-0.0161,-4.05,0.4105,-0.00894
"877",384.1485,-61,0.3879,-0.0206,-35.67,0.3379,-0.016,-4.05,0.4105,-0.00898
"878",384.217,-60.74,0.3881,-0.0272,-35.66,0.338,-0.0159,-4.06,0.4105,-0.00902
"879",384.304,-60.39,0.3884,-0.0337,-35.65,0.338,-0.0157,-4.06,0.4105,-0.00906
"880",384.42,-59.93,0.3887,-0.04,-35.63,0.338,-0.0156,-4.05,0.4105,-0.0091
"881",384.565,-59.39,0.3891,-0.0455,-35.6,0.338,-0.0156,-4.05,0.4105,-0.00915
"882",384.7825,-58.67,0.3896,-0.0509,-35.54,0.3381,-0.0158,-4.04,0.4105,-0.00923
"883",385,-58.01,0.3901,-0.0548,-35.45,0.3382,-0.0162,-4.04,0.4106,-0.00931
"884",385.024,-57.95,0.3901,-0.0545,-35.44,0.3382,-0.0163,-4.04,0.4106,-0.00972
"885",385.0552,-57.89,0.3902,-0.0531,-35.43,0.3383,-0.0163,-4.04,0.4106,-0.00992
"886",385.0958,-57.85,0.3902,-0.0506,-35.41,0.3383,-0.0164,-4.05,0.4105,-0.0101
"887",385.1485,-57.83,0.3902,-0.0474,-35.38,0.3383,-0.0166,-4.05,0.4105,-0.0102
"888",385.217,-57.84,0.3902,-0.044,-35.34,0.3384,-0.0168,-4.06,0.4105,-0.0102
"889",385.304,-57.85,0.3902,-0.0409,-35.29,0.3384,-0.0171,-4.06,0.4105,-0.0103
"890",385.42,-57.88,0.3902,-0.038,-35.22,0.3385,-0.0174,-4.06,0.4105,-0.0103
"891",385.565,-57.89,0.3902,-0.0357,-35.12,0.3386,-0.0178,-4.06,0.4105,-0.0103
"892",385.7825,-57.89,0.3902,-0.0336,-34.97,0.3388,-0.0183,-4.06,0.4105,-0.0104
"893",386,-57.87,0.3902,-0.0322,-34.82,0.339,-0.0187,-4.06,0.4105,-0.0105
"894",386.25,-58.23,0.39,-0.0222,-34.67,0.3392,-0.019,-4.04,0.4106,-0.0103
"895",386.625,-58.69,0.3896,-0.0154,-34.49,0.3394,-0.019,-4.01,0.4106,-0.0104
"896",387,-59.15,0.3893,-0.0106,-34.36,0.3396,-0.0187,-3.98,0.4106,-0.0106
"897",387.024,-59.17,0.3893,-0.0105,-34.34,0.3396,-0.0187,-3.97,0.4106,-0.0095
"898",387.0552,-59.19,0.3892,-0.0111,-34.33,0.3396,-0.0187,-3.95,0.4106,-0.009
"899",387.0958,-59.2,0.3892,-0.0121,-34.32,0.3396,-0.0186,-3.93,0.4106,-0.00864
"900",387.1485,-59.2,0.3892,-0.0134,-34.31,0.3397,-0.0186,-3.9,0.4107,-0.00851
"901",387.217,-59.19,0.3892,-0.0148,-34.29,0.3397,-0.0185,-3.88,0.4107,-0.00844
"902",387.304,-59.16,0.3893,-0.0162,-34.27,0.3397,-0.0184,-3.85,0.4107,-0.00849
"903",387.42,-59.12,0.3893,-0.0174,-34.25,0.3397,-0.0182,-3.82,0.4107,-0.00861
"904",387.565,-59.07,0.3893,-0.0184,-34.22,0.3398,-0.018,-3.78,0.4107,-0.00877
"905",387.7825,-59.01,0.3894,-0.0192,-34.19,0.3398,-0.0178,-3.74,0.4108,-0.00901
"906",388,-58.96,0.3894,-0.0198,-34.16,0.3398,-0.0177,-3.7,0.4108,-0.00924
"907",388.024,-58.93,0.3894,-0.0215,-34.16,0.3398,-0.0176,-3.69,0.4108,-0.00906
"908",388.0552,-58.86,0.3895,-0.0253,-34.15,0.3398,-0.0176,-3.68,0.4108,-0.00903
"909",388.0958,-58.68,0.3896,-0.0319,-34.15,0.3399,-0.0176,-3.67,0.4108,-0.00902
"910",388.1485,-58.4,0.3898,-0.0402,-34.14,0.3399,-0.0176,-3.66,0.4108,-0.00907
"911",388.217,-57.97,0.3901,-0.0495,-34.13,0.3399,-0.0175,-3.64,0.4108,-0.00914
"912",388.304,-57.41,0.3905,-0.0586,-34.11,0.3399,-0.0176,-3.63,0.4109,-0.00923
"913",388.42,-56.68,0.3911,-0.0674,-34.09,0.3399,-0.0177,-3.6,0.4109,-0.00936
"914",388.565,-55.84,0.3917,-0.0753,-34.04,0.34,-0.018,-3.58,0.4109,-0.00951
"915",388.7825,-54.7,0.3925,-0.0829,-33.91,0.3401,-0.0189,-3.54,0.4109,-0.00974
"916",389,-53.67,0.3933,-0.0883,-33.74,0.3404,-0.0202,-3.51,0.4109,-0.00995
"917",389.024,-53.58,0.3933,-0.0867,-33.72,0.3404,-0.0203,-3.51,0.4109,-0.0105
"918",389.0552,-53.52,0.3934,-0.0825,-33.69,0.3404,-0.0205,-3.51,0.4109,-0.0106
"919",389.0958,-53.52,0.3934,-0.0756,-33.66,0.3405,-0.0208,-3.51,0.4109,-0.0108
"920",389.1485,-53.59,0.3933,-0.0675,-33.6,0.3405,-0.0212,-3.51,0.4109,-0.0108
"921",389.217,-53.73,0.3932,-0.0592,-33.53,0.3406,-0.0216,-3.51,0.4109,-0.0109
"922",389.304,-53.9,0.3931,-0.0517,-33.43,0.3408,-0.0223,-3.5,0.4109,-0.011
"923",389.42,-54.12,0.3929,-0.045,-33.29,0.3409,-0.023,-3.49,0.411,-0.0111
"924",389.565,-54.35,0.3928,-0.0394,-33.12,0.3411,-0.0237,-3.48,0.411,-0.0112
"925",389.7825,-54.62,0.3926,-0.0344,-32.88,0.3415,-0.0244,-3.46,0.411,-0.0113
"926",390,-54.82,0.3924,-0.031,-32.66,0.3417,-0.0248,-3.44,0.411,-0.0115
"927",390.024,-54.83,0.3924,-0.0319,-32.63,0.3418,-0.0249,-3.45,0.411,-0.0123
"928",390.0552,-54.8,0.3924,-0.0346,-32.6,0.3418,-0.0249,-3.46,0.411,-0.0125
"929",390.0958,-54.71,0.3925,-0.0393,-32.57,0.3418,-0.025,-3.46,0.411,-0.0127
"930",390.1485,-54.54,0.3926,-0.0449,-32.52,0.3419,-0.025,-3.47,0.411,-0.0128
"931",390.217,-54.29,0.3928,-0.051,-32.46,0.342,-0.0251,-3.47,0.411,-0.0129
"932",390.304,-53.95,0.393,-0.0567,-32.39,0.3421,-0.0251,-3.48,0.411,-0.0129
"933",390.42,-53.52,0.3934,-0.0619,-32.29,0.3422,-0.0253,-3.48,0.411,-0.013
"934",390.565,-53.02,0.3937,-0.0664,-32.17,0.3423,-0.0255,-3.47,0.411,-0.013
"935",390.7825,-52.34,0.3942,-0.0705,-31.97,0.3426,-0.0262,-3.46,0.411,-0.0131
"936",391,-51.71,0.3947,-0.0733,-31.75,0.3429,-0.027,-3.45,0.411,-0.0133
"937",391.024,-51.65,0.3947,-0.0721,-31.73,0.3429,-0.0271,-3.46,0.411,-0.0139
"938",391.0552,-51.62,0.3947,-0.0693,-31.69,0.3429,-0.0273,-3.46,0.411,-0.0141
"939",391.0958,-51.63,0.3947,-0.0646,-31.65,0.343,-0.0274,-3.47,0.411,-0.0142
"940",391.1485,-51.68,0.3947,-0.0593,-31.59,0.3431,-0.0277,-3.47,0.411,-0.0143
"941",391.217,-51.77,0.3946,-0.0538,-31.51,0.3432,-0.028,-3.48,0.411,-0.0144
"942",391.304,-51.9,0.3945,-0.0488,-31.41,0.3433,-0.0284,-3.48,0.411,-0.0144
"943",391.42,-52.04,0.3944,-0.0444,-31.28,0.3435,-0.0288,-3.48,0.411,-0.0145
"944",391.565,-52.19,0.3943,-0.0407,-31.12,0.3437,-0.0292,-3.47,0.411,-0.0145
"945",391.7825,-52.36,0.3942,-0.0373,-30.9,0.3439,-0.0295,-3.46,0.411,-0.0146
"946",392,-52.49,0.3941,-0.0351,-30.71,0.3442,-0.0296,-3.45,0.411,-0.0148
"947",392.024,-52.47,0.3941,-0.0377,-30.69,0.3442,-0.0296,-3.46,0.411,-0.0159
"948",392.0552,-52.37,0.3942,-0.0437,-30.66,0.3442,-0.0297,-3.47,0.411,-0.0162
"949",392.0958,-52.15,0.3944,-0.0536,-30.63,0.3443,-0.0297,-3.48,0.411,-0.0165
"950",392.1485,-51.77,0.3946,-0.0653,-30.59,0.3443,-0.0297,-3.49,0.411,-0.0166
"951",392.217,-51.23,0.395,-0.0777,-30.53,0.3444,-0.0297,-3.5,0.4109,-0.0166
"952",392.304,-50.54,0.3955,-0.0891,-30.47,0.3445,-0.0298,-3.51,0.4109,-0.0167
"953",392.42,-49.67,0.3962,-0.0997,-30.37,0.3446,-0.0301,-3.52,0.4109,-0.0167
"954",392.565,-48.67,0.3969,-0.109,-30.22,0.3448,-0.0308,-3.52,0.4109,-0.0168
"955",392.7825,-47.34,0.3979,-0.117,-29.94,0.3451,-0.0325,-3.51,0.4109,-0.0169
"956",393,-46.12,0.3987,-0.123,-29.59,0.3456,-0.0349,-3.5,0.4109,-0.017
"957",393.024,-46.03,0.3988,-0.12,-29.56,0.3456,-0.0352,-3.5,0.411,-0.017
"958",393.0552,-46,0.3988,-0.113,-29.51,0.3457,-0.0355,-3.5,0.411,-0.0171
"959",393.0958,-46.06,0.3987,-0.102,-29.44,0.3458,-0.036,-3.5,0.411,-0.0171
"960",393.1485,-46.2,0.3986,-0.0904,-29.35,0.3459,-0.0367,-3.49,0.411,-0.0171
"961",393.217,-46.43,0.3985,-0.079,-29.22,0.3461,-0.0376,-3.49,0.411,-0.0172
"962",393.304,-46.71,0.3983,-0.069,-29.05,0.3463,-0.0387,-3.48,0.411,-0.0172
"963",393.42,-47.05,0.398,-0.0601,-28.82,0.3466,-0.0398,-3.47,0.411,-0.0173
"964",393.565,-47.39,0.3978,-0.0529,-28.55,0.347,-0.0409,-3.46,0.411,-0.0174
"965",393.7825,-47.79,0.3975,-0.0464,-28.21,0.3475,-0.0416,-3.43,0.411,-0.0176
"966",394,-48.11,0.3973,-0.0421,-27.93,0.3479,-0.0417,-3.4,0.411,-0.0179
"967",394.024,-48.15,0.3973,-0.041,-27.89,0.3479,-0.0417,-3.41,0.411,-0.0185
"968",394.0552,-48.21,0.3972,-0.0396,-27.85,0.348,-0.0417,-3.41,0.411,-0.0187
"969",394.0958,-48.3,0.3972,-0.0376,-27.8,0.348,-0.0416,-3.41,0.411,-0.0188
"970",394.1485,-48.41,0.3971,-0.0352,-27.74,0.3481,-0.0416,-3.41,0.411,-0.0189
"971",394.217,-48.57,0.397,-0.0327,-27.67,0.3482,-0.0415,-3.41,0.411,-0.019
"972",394.304,-48.75,0.3968,-0.0303,-27.59,0.3483,-0.0412,-3.4,0.411,-0.0191
"973",394.42,-48.98,0.3967,-0.028,-27.5,0.3484,-0.0408,-3.39,0.411,-0.0192
"974",394.565,-49.24,0.3965,-0.0258,-27.41,0.3486,-0.0403,-3.38,0.411,-0.0194
"975",394.7825,-49.58,0.3962,-0.0236,-27.31,0.3487,-0.0393,-3.35,0.4111,-0.0197
"976",395,-49.88,0.396,-0.0219,-27.25,0.3488,-0.0382,-3.31,0.4111,-0.02
"977",395.25,-50.56,0.3955,-0.0117,-27.22,0.3488,-0.0368,-3.32,0.4111,-0.0216
"978",395.625,-51.45,0.3949,-0.00504,-27.27,0.3488,-0.0346,-3.28,0.4111,-0.0221
"979",396,-52.3,0.3942,-0.000323,-27.39,0.3486,-0.0323,-3.22,0.4111,-0.0226
"980",396.5,-53.29,0.3935,0.00296,-27.65,0.3483,-0.0294,-3.19,0.4112,-0.0241
"981",397,-54.18,0.3929,0.00506,-27.96,0.3478,-0.0267,-3.13,0.4112,-0.0246
"982",397.5,-54.99,0.3923,0.00639,-28.32,0.3473,-0.0243,-2.99,0.4113,-0.0239
"983",398,-55.75,0.3917,0.00735,-28.7,0.3468,-0.0222,-2.91,0.4114,-0.0243
"984",399,-57.02,0.3908,0.00787,-29.48,0.3458,-0.0189,-2.82,0.4114,-0.0246
"985",400,-58.09,0.39,0.0073,-30.23,0.3448,-0.0165,-2.88,0.4114,-0.0255
"986",401,-58.94,0.3894,0.0057,-30.94,0.3439,-0.0147,-2.85,0.4114,-0.0242
"987",402,-59.57,0.389,0.0033,-31.59,0.3431,-0.0135,-2.89,0.4114,-0.0234
"988",403,-59.97,0.3887,0.000309,-32.15,0.3423,-0.0128,-3.15,0.4112,-0.0246
"989",404,-60.31,0.3884,-0.00177,-32.64,0.3417,-0.0123,-3.35,0.4111,-0.0239
"990",404.024,-60.25,0.3885,-0.00686,-32.66,0.3417,-0.0123,-3.36,0.4111,-0.0239
"991",404.0552,-60.04,0.3886,-0.0188,-32.68,0.3417,-0.0123,-3.36,0.411,-0.0238
"992",404.0958,-59.52,0.389,-0.0401,-32.7,0.3417,-0.0123,-3.37,0.411,-0.0238
"993",404.1485,-58.61,0.3896,-0.0679,-32.72,0.3416,-0.0123,-3.38,0.411,-0.0237
"994",404.217,-57.22,0.3907,-0.101,-32.75,0.3416,-0.0123,-3.39,0.411,-0.0236
"995",404.304,-55.4,0.392,-0.133,-32.79,0.3416,-0.0124,-3.4,0.411,-0.0235
"996",404.42,-53.08,0.3937,-0.164,-32.81,0.3415,-0.0129,-3.42,0.411,-0.0234
"997",404.565,-50.45,0.3956,-0.19,-32.77,0.3416,-0.0142,-3.45,0.411,-0.0232
"998",404.7825,-46.99,0.3981,-0.217,-32.53,0.3419,-0.0178,-3.48,0.411,-0.023
"999",405,-43.86,0.4003,-0.236,-32.08,0.3424,-0.0228,-3.52,0.4109,-0.0227
"1000",405.024,-43.35,0.4006,-0.251,-32.05,0.3425,-0.0233,-3.51,0.4109,-0.0222
"1001",405.0552,-42.55,0.4011,-0.276,-31.97,0.3426,-0.0241,-3.51,0.4109,-0.022
"1002",405.0958,-41.27,0.402,-0.311,-31.87,0.3427,-0.0252,-3.51,0.4109,-0.0218
"1003",405.1485,-39.52,0.4032,-0.35,-31.72,0.3429,-0.0268,-3.51,0.4109,-0.0217
"1004",405.217,-37.22,0.4048,-0.39,-31.49,0.3432,-0.0292,-3.52,0.4109,-0.0217
"1005",405.304,-34.47,0.4066,-0.424,-31.14,0.3436,-0.0328,-3.52,0.4109,-0.0216
"1006",405.42,-31.2,0.4087,-0.456,-30.53,0.3444,-0.0391,-3.53,0.4109,-0.0215
"1007",405.565,-27.53,0.4109,-0.485,-29.48,0.3457,-0.0499,-3.54,0.4109,-0.0214
"1008",405.7825,-22.77,0.4137,-0.511,-27.18,0.3488,-0.0746,-3.56,0.4109,-0.0213
"1009",406,-18.47,0.4159,-0.531,-24.04,0.3531,-0.109,-3.57,0.4109,-0.0212
"1010",406.25,-23.82,0.413,-0.211,-20.74,0.3579,-0.138,-3.6,0.4109,-0.0215
"1011",406.5,-27.78,0.4107,-0.117,-18.52,0.3612,-0.146,-3.6,0.4109,-0.0217
"1012",406.75,-30.45,0.4091,-0.0806,-17.28,0.3631,-0.141,-3.56,0.4109,-0.0222
"1013",407,-32.57,0.4078,-0.0585,-16.63,0.364,-0.129,-3.5,0.411,-0.0229
"1014",407.5,-35.34,0.4059,-0.0409,-16.53,0.3643,-0.107,-3.3,0.4111,-0.0274
"1015",408,-37.53,0.4046,-0.0301,-16.74,0.3638,-0.0894,-2.9,0.4114,-0.0309
"1016",408.5,-39.21,0.4034,-0.0242,-17.2,0.3631,-0.0767,-2.34,0.4117,-0.0341
"1017",409,-40.62,0.4025,-0.02,-17.73,0.3623,-0.067,-1.79,0.4121,-0.0384
"1018",409.024,-40.71,0.4024,-0.0202,-17.75,0.3623,-0.0664,-1.74,0.4121,-0.0362
"1019",409.0552,-40.77,0.4024,-0.0208,-17.79,0.3622,-0.0659,-1.68,0.4122,-0.0364
"1020",409.0958,-40.86,0.4023,-0.0218,-17.83,0.3622,-0.0651,-1.62,0.4122,-0.0367
"1021",409.1485,-40.95,0.4023,-0.0228,-17.89,0.3621,-0.0642,-1.54,0.4123,-0.0372
"1022",409.217,-41.06,0.4022,-0.0237,-17.97,0.3619,-0.0631,-1.44,0.4123,-0.0378
"1023",409.304,-41.21,0.4021,-0.0243,-18.07,0.3618,-0.0618,-1.32,0.4124,-0.0386
"1024",409.42,-41.39,0.402,-0.0247,-18.2,0.3616,-0.0603,-1.17,0.4125,-0.0396
"1025",409.565,-41.62,0.4018,-0.0248,-18.35,0.3614,-0.0585,-0.99,0.4126,-0.0409
"1026",409.7825,-41.95,0.4016,-0.0247,-18.58,0.361,-0.0563,-0.74,0.4127,-0.0426
"1027",410,-42.27,0.4013,-0.0244,-18.79,0.3607,-0.0544,-0.52,0.4128,-0.0441
"1028",410.024,-42.31,0.4013,-0.0242,-18.81,0.3607,-0.0542,-0.5,0.4128,-0.0444
"1029",410.0552,-42.36,0.4013,-0.0239,-18.85,0.3606,-0.054,-0.47,0.4128,-0.0446
"1030",410.0958,-42.43,0.4012,-0.0234,-18.88,0.3606,-0.0537,-0.43,0.4129,-0.0449
"1031",410.1485,-42.52,0.4012,-0.0228,-18.94,0.3605,-0.0532,-0.38,0.4129,-0.0452
