"","time (hours)","N1 matric potential (hPa)","N1 theta (m³/m³)","N1 flux (cm/h)","N2 matric potential (hPa)","N2 theta (m³/m³)","N2 flux (cm/h)","N3 matric potential (hPa)","N3 theta (m³/m³)","N3 flux (cm/h)"
"394",180,-114.85,0.3861,-0.0387,-88.45,0.339,9.91e-05,-49.95,0.3931,-0.00125
"395",180.024,-114.68,0.3862,-0.0392,-88.45,0.339,9.93e-05,-49.95,0.3931,-0.00125
"396",180.0552,-114.46,0.3864,-0.0395,-88.46,0.339,9.96e-05,-49.95,0.3931,-0.00124
"397",180.0958,-114.2,0.3865,-0.0396,-88.46,0.339,1e-04,-49.95,0.3931,-0.00124
"398",180.1485,-113.9,0.3867,-0.0391,-88.46,0.339,0.000101,-49.95,0.3931,-0.00124
"399",180.217,-113.59,0.3869,-0.0378,-88.46,0.339,0.000101,-49.95,0.3931,-0.00124
"400",180.304,-113.29,0.3871,-0.0356,-88.47,0.339,0.000102,-49.96,0.3931,-0.00123
"401",180.42,-113.04,0.3873,-0.0325,-88.47,0.339,0.000103,-49.96,0.3931,-0.00123
"402",180.565,-112.84,0.3874,-0.0289,-88.48,0.339,0.000104,-49.96,0.3931,-0.00122
"403",180.7825,-112.67,0.3875,-0.0245,-88.49,0.339,0.000106,-49.97,0.3931,-0.0012
"404",181,-112.56,0.3876,-0.0209,-88.5,0.339,0.000108,-49.97,0.3931,-0.00118
"405",181.25,-112.71,0.3875,-0.0156,-88.51,0.339,0.00011,-49.98,0.3931,-0.00116
"406",181.625,-113.19,0.3872,-0.00899,-88.53,0.339,0.000113,-49.98,0.393,-0.00113
"407",182,-113.83,0.3868,-0.00351,-88.55,0.339,0.000115,-49.99,0.393,-0.00108
"408",182.5,-114.76,0.3862,0.00124,-88.58,0.3389,0.000118,-49.99,0.393,-0.00103
"409",183,-115.7,0.3856,0.00446,-88.6,0.3389,0.000121,-50,0.393,-0.00098
"410",183.5,-116.36,0.3851,0.00502,-88.63,0.3389,0.000123,-50,0.393,-0.000922
"411",184,-116.95,0.3848,0.00525,-88.65,0.3389,0.000124,-50,0.393,-0.00086
"412",185,-117.86,0.3842,0.00518,-88.7,0.3388,0.000124,-49.99,0.393,-0.000715
"413",186,-118.75,0.3836,0.0054,-88.74,0.3388,0.00012,-49.98,0.3931,-0.000612
"414",187,-118.87,0.3835,0.0028,-88.78,0.3387,0.000113,-49.96,0.3931,-0.000458
"415",188,-118.98,0.3835,0.00156,-88.82,0.3387,0.000104,-49.93,0.3931,-0.000333
"416",189,-118.95,0.3835,0.000675,-88.85,0.3387,9.38e-05,-49.9,0.3931,-0.000228
"417",190,-118.96,0.3835,0.000316,-88.88,0.3387,8.22e-05,-49.87,0.3931,-0.000147
"418",191,-118.95,0.3835,0.000131,-88.91,0.3386,7.01e-05,-49.85,0.3932,-0.00011
"419",192,-118.95,0.3835,5.24e-05,-88.93,0.3386,5.8e-05,-49.83,0.3932,-0.000114
"420",193,-118.95,0.3835,1.42e-05,-88.96,0.3386,4.64e-05,-49.82,0.3932,-0.000118
"421",194,-118.95,0.3835,-3.01e-06,-88.98,0.3386,3.54e-05,-49.82,0.3932,-0.000165
"422",195,-118.95,0.3835,-1.12e-05,-88.99,0.3386,2.52e-05,-49.81,0.3932,-0.000196
"423",196,-118.96,0.3835,-1.49e-05,-89.01,0.3385,1.59e-05,-49.81,0.3932,-0.000232
"424",197,-118.96,0.3835,-1.62e-05,-89.03,0.3385,7.35e-06,-49.81,0.3932,-0.000225
"425",198,-118.96,0.3835,-1.63e-05,-89.04,0.3385,-3.06e-07,-49.81,0.3932,-0.000194
"426",199,-118.97,0.3835,-1.58e-05,-89.05,0.3385,-7.17e-06,-49.8,0.3932,-0.00018
"427",200,-118.97,0.3835,-1.5e-05,-89.07,0.3385,-1.33e-05,-49.79,0.3932,-0.000108
"428",201,-120.38,0.3827,0.00551,-89.08,0.3385,-1.88e-05,-49.77,0.3932,-5.85e-05
"429",202,-121.82,0.3818,0.00822,-89.09,0.3385,-2.36e-05,-49.75,0.3932,3.17e-05
"430",203,-124.19,0.3807,0.0127,-89.1,0.3385,-2.77e-05,-49.73,0.3933,5.61e-05
"431",204,-127.18,0.3792,0.017,-89.11,0.3385,-3.08e-05,-49.7,0.3933,0.000114
"432",205,-130.33,0.3776,0.0194,-89.12,0.3384,-3.27e-05,-49.68,0.3933,0.000152
"433",206,-133.58,0.376,0.021,-89.13,0.3384,-3.31e-05,-49.66,0.3933,2e-04
"434",207,-136.85,0.3744,0.0218,-89.15,0.3384,-3.13e-05,-49.63,0.3933,0.000212
"435",208,-139.45,0.3731,0.0203,-89.16,0.3384,-2.7e-05,-49.61,0.3933,0.000245
"436",209,-141.25,0.3722,0.0175,-89.18,0.3384,-1.97e-05,-49.59,0.3934,0.000253
"437",210,-142.82,0.3714,0.0157,-89.2,0.3384,-9.03e-06,-49.57,0.3934,0.000247
"438",211,-143.47,0.3711,0.0124,-89.22,0.3384,5.3e-06,-49.55,0.3934,0.000232
"439",211.024,-143.59,0.371,0.0125,-89.22,0.3384,5.28e-06,-49.55,0.3934,0.000232
"440",211.0552,-143.58,0.371,0.0122,-89.22,0.3384,5.82e-06,-49.55,0.3934,0.000232
"441",211.0958,-143.59,0.371,0.0117,-89.22,0.3384,6.34e-06,-49.55,0.3934,0.000231
"442",211.1485,-143.52,0.3711,0.0103,-89.22,0.3384,7.17e-06,-49.55,0.3934,0.00023
"443",211.217,-143.31,0.3712,0.0077,-89.23,0.3384,8.2e-06,-49.55,0.3934,0.000229
"444",211.304,-142.78,0.3714,0.00306,-89.23,0.3383,9.57e-06,-49.55,0.3934,0.000227
"445",211.42,-141.63,0.372,-0.00462,-89.23,0.3383,1.15e-05,-49.55,0.3934,0.000224
"446",211.565,-139.67,0.373,-0.0151,-89.23,0.3383,1.39e-05,-49.54,0.3934,0.000221
"447",211.7825,-136,0.3748,-0.0301,-89.24,0.3383,1.79e-05,-49.54,0.3934,0.000214
"448",212,-132.05,0.3768,-0.0433,-89.25,0.3383,2.2e-05,-49.54,0.3934,0.000208
"449",212.25,-129.22,0.3782,-0.0428,-89.25,0.3383,2.71e-05,-49.54,0.3934,0.000204
"450",212.625,-127.35,0.3792,-0.0339,-89.27,0.3383,3.53e-05,-49.53,0.3934,0.000212
"451",213,-126.65,0.3795,-0.0241,-89.28,0.3383,4.4e-05,-49.52,0.3934,0.000232
"452",213.024,-126.53,0.3795,-0.0234,-89.28,0.3383,4.45e-05,-49.52,0.3934,0.000232
"453",213.0552,-126.51,0.3795,-0.0226,-89.28,0.3383,4.52e-05,-49.52,0.3934,0.000234
"454",213.0958,-126.47,0.3795,-0.0216,-89.28,0.3383,4.62e-05,-49.52,0.3934,0.000237
"455",213.1485,-126.43,0.3796,-0.0205,-89.28,0.3383,4.75e-05,-49.52,0.3934,0.00024
"456",213.217,-126.39,0.3796,-0.0192,-89.29,0.3383,4.91e-05,-49.52,0.3934,0.000245
"457",213.304,-126.33,0.3796,-0.0178,-89.29,0.3383,5.12e-05,-49.52,0.3934,0.000251
"458",213.42,-126.26,0.3796,-0.0163,-89.29,0.3383,5.41e-05,-49.51,0.3934,0.000255
"459",213.565,-126.16,0.3797,-0.0147,-89.3,0.3383,5.78e-05,-49.51,0.3934,0.000255
"460",213.7825,-126,0.3798,-0.0129,-89.31,0.3383,6.35e-05,-49.51,0.3934,0.00024
"461",214,-125.84,0.3798,-0.0115,-89.32,0.3383,6.94e-05,-49.51,0.3934,0.000216
"462",214.25,-125.76,0.3799,-0.0096,-89.33,0.3383,7.64e-05,-49.51,0.3934,0.000178
"463",214.625,-125.74,0.3799,-0.00723,-89.34,0.3382,8.72e-05,-49.51,0.3934,0.000119
"464",215,-125.77,0.3799,-0.0053,-89.36,0.3382,9.83e-05,-49.51,0.3934,6.37e-05
"465",215.024,-125.77,0.3799,-0.00515,-89.36,0.3382,9.9e-05,-49.51,0.3934,5.99e-05
"466",215.0552,-125.77,0.3799,-0.00505,-89.36,0.3382,9.99e-05,-49.51,0.3934,5.53e-05
"467",215.0958,-125.77,0.3799,-0.00501,-89.37,0.3382,0.000101,-49.51,0.3934,4.95e-05
"468",215.1485,-125.75,0.3799,-0.00513,-89.37,0.3382,0.000103,-49.51,0.3934,4.2e-05
"469",215.217,-125.69,0.3799,-0.00551,-89.37,0.3382,0.000105,-49.51,0.3934,3.27e-05
"470",215.304,-125.58,0.38,-0.0062,-89.38,0.3382,0.000107,-49.52,0.3934,2.1e-05
"471",215.42,-125.37,0.3801,-0.00724,-89.38,0.3382,0.000111,-49.52,0.3934,6.49e-06
"472",215.565,-125.04,0.3802,-0.00853,-89.39,0.3382,0.000115,-49.52,0.3934,-9.51e-06
"473",215.7825,-124.49,0.3805,-0.0102,-89.4,0.3382,0.000122,-49.52,0.3934,-2.89e-05
"474",216,-123.91,0.3808,-0.0116,-89.41,0.3382,0.000129,-49.53,0.3934,-4.54e-05
"475",216.024,-123.85,0.3808,-0.0118,-89.41,0.3382,0.00013,-49.53,0.3934,-4.75e-05
"476",216.0552,-123.76,0.3809,-0.012,-89.41,0.3382,0.000131,-49.53,0.3934,-4.93e-05
"477",216.0958,-123.66,0.3809,-0.0121,-89.42,0.3382,0.000132,-49.53,0.3934,-5.25e-05
"478",216.1485,-123.54,0.381,-0.0121,-89.42,0.3382,0.000134,-49.53,0.3934,-5.58e-05
"479",216.217,-123.4,0.3811,-0.012,-89.42,0.3382,0.000136,-49.53,0.3934,-6.01e-05
"480",216.304,-123.25,0.3811,-0.0116,-89.43,0.3382,0.000138,-49.53,0.3934,-6.55e-05
"481",216.42,-123.09,0.3812,-0.0111,-89.43,0.3382,0.000142,-49.53,0.3934,-7.35e-05
"482",216.565,-122.93,0.3813,-0.0105,-89.44,0.3382,0.000147,-49.53,0.3934,-8.5e-05
"483",216.7825,-122.75,0.3814,-0.00974,-89.45,0.3381,0.000154,-49.54,0.3934,-0.000106
"484",217,-122.58,0.3815,-0.00909,-89.47,0.3381,0.00016,-49.54,0.3934,-0.000129
"485",217.25,-122.5,0.3815,-0.00777,-89.48,0.3381,0.000168,-49.55,0.3934,-0.000159
"486",217.625,-122.5,0.3815,-0.00596,-89.5,0.3381,0.00018,-49.55,0.3934,-0.000205
"487",218,-122.54,0.3815,-0.00443,-89.53,0.3381,0.000191,-49.56,0.3934,-0.00025
"488",218.5,-122.62,0.3814,-0.00309,-89.56,0.3381,0.000205,-49.58,0.3934,-0.000315
"489",219,-122.7,0.3814,-0.00215,-89.59,0.338,0.000219,-49.6,0.3934,-0.000378
"490",219.5,-122.76,0.3814,-0.00154,-89.62,0.338,0.000232,-49.61,0.3933,-0.000427
"491",220,-122.81,0.3813,-0.00112,-89.65,0.338,0.000244,-49.63,0.3933,-0.000463
"492",220.024,-122.82,0.3813,-0.00113,-89.65,0.338,0.000245,-49.63,0.3933,-0.000466
"493",220.0552,-122.81,0.3814,-0.00136,-89.65,0.338,0.000246,-49.63,0.3933,-0.000468
"494",220.0958,-122.77,0.3814,-0.0021,-89.65,0.338,0.000247,-49.64,0.3933,-0.000471
"495",220.1485,-122.64,0.3814,-0.00382,-89.66,0.338,0.000248,-49.64,0.3933,-0.000474
"496",220.217,-122.34,0.3816,-0.00704,-89.66,0.338,0.000249,-49.64,0.3933,-0.000478
"497",220.304,-121.76,0.3819,-0.0119,-89.67,0.338,0.000251,-49.64,0.3933,-0.000482
"498",220.42,-120.78,0.3823,-0.0187,-89.67,0.3379,0.000254,-49.65,0.3933,-0.000487
"499",220.565,-119.52,0.3831,-0.0259,-89.68,0.3379,0.000257,-49.65,0.3933,-0.00049
"500",220.7825,-117.35,0.3845,-0.0359,-89.7,0.3379,0.000262,-49.66,0.3933,-0.000493
"501",221,-115.06,0.386,-0.045,-89.71,0.3379,0.000266,-49.66,0.3933,-0.000493
"502",221.25,-112.38,0.3877,-0.0536,-89.73,0.3379,0.000271,-49.67,0.3933,-0.000486
"503",221.625,-108.47,0.3902,-0.0627,-89.75,0.3379,0.000278,-49.68,0.3933,-0.000458
"504",222,-104.76,0.3926,-0.069,-89.77,0.3379,0.000284,-49.68,0.3933,-0.000416
"505",222.5,-103.58,0.3934,-0.0479,-89.8,0.3378,0.000291,-49.68,0.3933,-0.000362
"506",223,-103.53,0.3934,-0.0315,-89.83,0.3378,0.000297,-49.68,0.3933,-0.000323
"507",223.024,-103.43,0.3934,-0.0301,-89.83,0.3378,0.000298,-49.68,0.3933,-0.00032
"508",223.0552,-103.46,0.3934,-0.0293,-89.83,0.3378,0.000298,-49.68,0.3933,-0.000317
"509",223.0958,-103.44,0.3934,-0.0286,-89.83,0.3378,0.000299,-49.68,0.3933,-0.000314
"510",223.1485,-103.4,0.3934,-0.0285,-89.84,0.3378,0.000299,-49.68,0.3933,-0.00031
"511",223.217,-103.27,0.3935,-0.0292,-89.84,0.3378,3e-04,-49.68,0.3933,-0.000306
"512",223.304,-103.01,0.3937,-0.0308,-89.85,0.3378,0.000301,-49.68,0.3933,-3e-04
"513",223.42,-102.54,0.394,-0.0332,-89.85,0.3378,0.000302,-49.68,0.3933,-0.000295
"514",223.565,-101.86,0.3944,-0.0361,-89.86,0.3378,0.000304,-49.68,0.3933,-0.000288
"515",223.7825,-100.74,0.3951,-0.0395,-89.87,0.3378,0.000305,-49.68,0.3933,-0.00028
"516",224,-99.59,0.3959,-0.0422,-89.88,0.3378,0.000307,-49.68,0.3933,-0.000273
"517",224.25,-99.15,0.3962,-0.0347,-89.9,0.3377,0.000309,-49.69,0.3933,-0.000267
"518",224.625,-99.3,0.3961,-0.0241,-89.92,0.3377,0.00031,-49.69,0.3933,-0.000267
"519",225,-99.79,0.3958,-0.0153,-89.93,0.3377,0.000311,-49.69,0.3933,-0.000274
"520",225.5,-100.8,0.3951,-0.00681,-89.96,0.3377,0.00031,-49.7,0.3933,-0.000313
"521",226,-101.83,0.3944,-0.00135,-89.98,0.3377,0.000308,-49.71,0.3933,-0.00037
"522",226.5,-103.09,0.3936,0.00392,-90,0.3377,0.000303,-49.73,0.3933,-0.000445
"523",227,-104.34,0.3928,0.00713,-90.01,0.3376,0.000296,-49.75,0.3932,-0.000523
"524",228,-106.86,0.3912,0.0107,-90.03,0.3376,0.000272,-49.79,0.3932,-0.00061
"525",229,-109.3,0.3897,0.0127,-90.04,0.3376,0.00024,-49.84,0.3932,-0.00076
"526",230,-111.7,0.3881,0.014,-90.04,0.3376,0.000201,-49.91,0.3931,-0.000927
"527",231,-114.05,0.3866,0.015,-90.02,0.3376,0.000157,-49.98,0.393,-0.00111
"528",232,-116.4,0.3851,0.0159,-89.99,0.3377,0.000109,-50.07,0.393,-0.00131
"529",233,-118.06,0.384,0.0139,-89.95,0.3377,6.11e-05,-50.17,0.3929,-0.00148
"530",234,-119,0.3834,0.0105,-89.91,0.3377,1.43e-05,-50.27,0.3928,-0.00163
"531",235,-119.07,0.3833,0.00582,-89.86,0.3378,-2.85e-05,-50.36,0.3928,-0.00172
"532",236,-119.03,0.3834,0.00326,-89.81,0.3378,-6.7e-05,-50.45,0.3927,-0.00177
"533",237,-118.9,0.3835,0.00173,-89.76,0.3379,-1e-04,-50.55,0.3926,-0.00184
"534",238,-118.81,0.3836,0.00101,-89.71,0.3379,-0.000129,-50.65,0.3925,-0.00192
"535",239,-118.72,0.3836,0.000623,-89.66,0.338,-0.000153,-50.74,0.3925,-0.00196
"536",240,-118.67,0.3837,0.000422,-89.62,0.338,-0.000172,-50.83,0.3924,-0.00199
"537",241,-118.62,0.3837,0.000302,-89.58,0.338,-0.000187,-50.92,0.3923,-0.00203
"538",242,-118.59,0.3837,0.000227,-89.54,0.3381,-0.000199,-51.02,0.3922,-0.00207
"539",243,-118.56,0.3837,0.000175,-89.51,0.3381,-0.000207,-51.11,0.3922,-0.0021
"540",244,-118.53,0.3837,0.000138,-89.48,0.3381,-0.000214,-51.2,0.3921,-0.00213
"541",245,-118.52,0.3838,0.00011,-89.46,0.3381,-0.000218,-51.29,0.392,-0.00216
"542",246,-118.5,0.3838,8.75e-05,-89.44,0.3382,-0.000222,-51.38,0.3919,-0.00214
"543",247,-118.49,0.3838,6.98e-05,-89.43,0.3382,-0.000224,-51.46,0.3919,-0.00212
"544",248,-118.48,0.3838,5.54e-05,-89.42,0.3382,-0.000226,-51.53,0.3918,-0.00207
"545",249,-119.18,0.3834,0.00284,-89.41,0.3382,-0.000227,-51.61,0.3918,-0.00205
"546",250,-120.57,0.3825,0.00694,-89.41,0.3382,-0.000228,-51.67,0.3917,-0.00201
"547",251,-122.11,0.3817,0.00927,-89.41,0.3382,-0.000229,-51.74,0.3917,-0.002
"548",252,-124.43,0.3806,0.0132,-89.41,0.3382,-0.000229,-51.81,0.3916,-0.00196
"549",253,-126.71,0.3794,0.015,-89.41,0.3382,-0.00023,-51.87,0.3916,-0.00193
"550",254,-129.11,0.3782,0.0162,-89.42,0.3382,-0.000229,-51.93,0.3915,-0.00191
"551",255,-131.46,0.3771,0.0168,-89.43,0.3382,-0.000227,-51.99,0.3915,-0.00187
"552",256,-133.1,0.3762,0.0149,-89.44,0.3382,-0.000224,-52.04,0.3914,-0.00185
"553",257,-134.7,0.3754,0.014,-89.46,0.3381,-0.000219,-52.1,0.3914,-0.00184
"554",258,-135.42,0.3751,0.011,-89.48,0.3381,-0.000211,-52.15,0.3913,-0.00178
"555",258.024,-135.53,0.375,0.0112,-89.48,0.3381,-0.000211,-52.15,0.3913,-0.00179
"556",258.0552,-135.53,0.375,0.011,-89.48,0.3381,-0.000211,-52.15,0.3913,-0.00178
"557",258.0958,-135.56,0.375,0.0107,-89.48,0.3381,-0.000211,-52.16,0.3913,-0.00178
"558",258.1485,-135.54,0.375,0.00988,-89.48,0.3381,-0.00021,-52.16,0.3913,-0.00178
"559",258.217,-135.46,0.3751,0.00833,-89.49,0.3381,-0.00021,-52.16,0.3913,-0.00177
"560",258.304,-135.22,0.3752,0.00573,-89.49,0.3381,-0.000209,-52.17,0.3913,-0.00177
"561",258.42,-134.7,0.3754,0.00173,-89.49,0.3381,-0.000208,-52.17,0.3913,-0.00176
"562",258.565,-133.82,0.3759,-0.00345,-89.49,0.3381,-0.000207,-52.18,0.3913,-0.00175
"563",258.7825,-132.19,0.3767,-0.0106,-89.5,0.3381,-0.000205,-52.19,0.3913,-0.00174
"564",259,-130.4,0.3776,-0.0168,-89.51,0.3381,-0.000203,-52.2,0.3913,-0.00174
"565",259.024,-130.21,0.3777,-0.0178,-89.51,0.3381,-0.000202,-52.2,0.3913,-0.00173
"566",259.0552,-129.9,0.3778,-0.0195,-89.51,0.3381,-0.000202,-52.2,0.3913,-0.00173
"567",259.0958,-129.39,0.3781,-0.0234,-89.51,0.3381,-0.000202,-52.2,0.3913,-0.00173
"568",259.1485,-128.42,0.3786,-0.0314,-89.51,0.3381,-0.000201,-52.21,0.3913,-0.00173
"569",259.217,-126.58,0.3795,-0.0458,-89.51,0.3381,-2e-04,-52.21,0.3913,-0.00173
"570",259.304,-123.42,0.381,-0.0677,-89.51,0.3381,-0.000199,-52.21,0.3913,-0.00173
"571",259.42,-118.34,0.3838,-0.0995,-89.52,0.3381,-0.000198,-52.22,0.3913,-0.00173
"572",259.565,-111.63,0.3882,-0.144,-89.52,0.3381,-0.000196,-52.23,0.3913,-0.00172
"573",259.7825,-101.49,0.3947,-0.199,-89.53,0.3381,-0.000194,-52.24,0.3913,-0.00172
"574",260,-92.27,0.4012,-0.242,-89.53,0.3381,-0.000191,-52.25,0.3913,-0.00171
"575",260.024,-91.32,0.4019,-0.247,-89.54,0.3381,-0.000191,-52.25,0.3913,-0.00171
"576",260.0552,-90.18,0.4029,-0.25,-89.54,0.3381,-0.00019,-52.25,0.3913,-0.00171
"577",260.0958,-88.83,0.404,-0.251,-89.54,0.3381,-0.00019,-52.25,0.3913,-0.00171
"578",260.1485,-87.42,0.4051,-0.251,-89.54,0.3381,-0.000189,-52.25,0.3913,-0.00171
"579",260.217,-85.88,0.4064,-0.246,-89.54,0.3381,-0.000188,-52.26,0.3913,-0.00171
"580",260.304,-84.26,0.4077,-0.239,-89.54,0.3381,-0.000187,-52.26,0.3913,-0.00171
"581",260.42,-82.4,0.4093,-0.23,-89.55,0.3381,-0.000186,-52.27,0.3912,-0.0017
"582",260.565,-80.32,0.411,-0.223,-89.55,0.3381,-0.000184,-52.27,0.3912,-0.0017
"583",260.7825,-77.39,0.4134,-0.214,-89.56,0.338,-0.00018,-52.28,0.3912,-0.0017
"584",261,-74.57,0.4159,-0.208,-89.57,0.338,-0.000177,-52.29,0.3912,-0.0017
"585",261.25,-73.82,0.4167,-0.155,-89.58,0.338,-0.000173,-52.31,0.3912,-0.00171
"586",261.5,-74.23,0.4164,-0.112,-89.59,0.338,-0.000169,-52.32,0.3912,-0.00171
"587",261.75,-74.79,0.4157,-0.0797,-89.6,0.338,-0.000164,-52.33,0.3912,-0.00172
"588",262,-75.49,0.415,-0.0572,-89.61,0.338,-0.00016,-52.35,0.3912,-0.00173
"589",262.5,-76.67,0.414,-0.0358,-89.63,0.338,-0.000152,-52.37,0.3912,-0.00174
"590",263,-77.62,0.4132,-0.0239,-89.65,0.338,-0.000145,-52.4,0.3911,-0.00175
"591",263.5,-78.41,0.4125,-0.0176,-89.68,0.3379,-0.000141,-52.43,0.3911,-0.00177
"592",264,-79.1,0.412,-0.0138,-89.7,0.3379,-0.000141,-52.46,0.3911,-0.00178
"593",265,-80.19,0.411,-0.0105,-89.72,0.3379,-0.000166,-52.51,0.3911,-0.00178
"594",265.024,-80.24,0.411,-0.01,-89.73,0.3379,-0.000164,-52.51,0.3911,-0.00178
"595",265.0552,-80.27,0.411,-0.0102,-89.73,0.3379,-0.000165,-52.52,0.3911,-0.00178
"596",265.0958,-80.3,0.411,-0.0105,-89.73,0.3379,-0.000166,-52.52,0.3911,-0.00178
"597",265.1485,-80.32,0.411,-0.0113,-89.73,0.3379,-0.000167,-52.52,0.391,-0.00178
"598",265.217,-80.32,0.411,-0.0125,-89.73,0.3379,-0.000169,-52.52,0.391,-0.00178
"599",265.304,-80.3,0.411,-0.0141,-89.73,0.3379,-0.000172,-52.53,0.391,-0.00178
"600",265.42,-80.24,0.411,-0.0159,-89.73,0.3379,-0.000175,-52.53,0.391,-0.00178
"601",265.565,-80.14,0.4111,-0.0177,-89.74,0.3379,-0.00018,-52.54,0.391,-0.00178
"602",265.7825,-79.98,0.4112,-0.0197,-89.74,0.3379,-0.000189,-52.55,0.391,-0.00178
"603",266,-79.82,0.4114,-0.0211,-89.74,0.3379,-2e-04,-52.57,0.391,-0.00178
"604",266.25,-79.88,0.4113,-0.0181,-89.74,0.3379,-0.000214,-52.58,0.391,-0.00178
"605",266.625,-80.12,0.4111,-0.0145,-89.74,0.3379,-0.000238,-52.6,0.391,-0.00177
"606",267,-80.44,0.4109,-0.0113,-89.73,0.3379,-0.000267,-52.62,0.391,-0.00177
"607",267.5,-80.86,0.4105,-0.00907,-89.71,0.3379,-0.000312,-52.64,0.391,-0.00175
"608",268,-81.26,0.4102,-0.00765,-89.69,0.3379,-0.000363,-52.67,0.3909,-0.00174
"609",268.5,-81.63,0.4099,-0.00681,-89.65,0.338,-0.00042,-52.69,0.3909,-0.00172
"610",269,-81.98,0.4096,-0.00621,-89.61,0.338,-0.000482,-52.71,0.3909,-0.00171
"611",270,-82.61,0.4091,-0.00549,-89.48,0.3381,-0.000627,-52.75,0.3909,-0.00168
"612",271,-83.2,0.4086,-0.00498,-89.32,0.3383,-0.000785,-52.79,0.3908,-0.00163
"613",272,-83.74,0.4081,-0.00461,-89.13,0.3384,-0.000953,-52.83,0.3908,-0.00159
"614",273,-84.75,0.4073,-0.00104,-88.91,0.3386,-0.00113,-52.86,0.3908,-0.00155
"615",274,-86.21,0.4062,0.00362,-88.67,0.3388,-0.0013,-52.9,0.3907,-0.00155
"616",275,-88.22,0.4045,0.00932,-88.41,0.3391,-0.00147,-52.94,0.3907,-0.00156
"617",276,-90.23,0.4028,0.0122,-88.13,0.3393,-0.00163,-52.98,0.3907,-0.00157
"618",277,-92.31,0.4011,0.0141,-87.84,0.3396,-0.00179,-53.03,0.3906,-0.00159
"619",278,-94.34,0.3994,0.0153,-87.55,0.3399,-0.00193,-53.07,0.3906,-0.00158
"620",278.024,-94.39,0.3994,0.0153,-87.54,0.3399,-0.00193,-53.07,0.3906,-0.00158
"621",278.0552,-94.45,0.3994,0.0152,-87.53,0.3399,-0.00194,-53.07,0.3906,-0.00158
"622",278.0958,-94.52,0.3993,0.0148,-87.52,0.3399,-0.00194,-53.07,0.3906,-0.00158
"623",278.1485,-94.59,0.3992,0.014,-87.51,0.3399,-0.00195,-53.07,0.3906,-0.00158
"624",278.217,-94.64,0.3992,0.0126,-87.49,0.3399,-0.00196,-53.07,0.3906,-0.00158
"625",278.304,-94.67,0.3992,0.0107,-87.46,0.3399,-0.00197,-53.08,0.3906,-0.00158
"626",278.42,-94.66,0.3992,0.00832,-87.43,0.34,-0.00199,-53.08,0.3906,-0.00158
"627",278.565,-94.61,0.3992,0.0057,-87.38,0.34,-0.002,-53.09,0.3906,-0.00158
"628",278.7825,-94.48,0.3993,0.00269,-87.32,0.3401,-0.00203,-53.1,0.3906,-0.00157
"629",279,-94.35,0.3994,0.000374,-87.26,0.3401,-0.00206,-53.1,0.3906,-0.00157
"630",279.25,-94.54,0.3993,0.00284,-87.18,0.3402,-0.00209,-53.11,0.3906,-0.00157
"631",279.625,-95.08,0.3989,0.00665,-87.08,0.3403,-0.00213,-53.13,0.3906,-0.00155
"632",280,-95.81,0.3983,0.0101,-86.97,0.3404,-0.00217,-53.14,0.3906,-0.00154
"633",280.5,-96.6,0.3978,0.0108,-86.83,0.3405,-0.00222,-53.15,0.3905,-0.0015
"634",281,-97.35,0.3973,0.0112,-86.69,0.3406,-0.00227,-53.16,0.3905,-0.00146
"635",281.5,-97.79,0.397,0.00919,-86.55,0.3408,-0.00231,-53.17,0.3905,-0.00143
"636",282,-98.21,0.3968,0.0079,-86.42,0.3409,-0.00234,-53.18,0.3905,-0.0014
"637",283,-98.29,0.3967,0.00342,-86.17,0.3411,-0.0024,-53.2,0.3905,-0.00134
"638",284,-98.41,0.3966,0.0015,-85.94,0.3413,-0.00244,-53.2,0.3905,-0.00126
"639",285,-98.44,0.3966,0.000284,-85.72,0.3415,-0.00246,-53.2,0.3905,-0.00118
"640",286,-98.53,0.3966,-0.000184,-85.53,0.3417,-0.00248,-53.2,0.3905,-0.00113
"641",287,-98.61,0.3965,-0.000439,-85.34,0.3418,-0.00248,-53.2,0.3905,-0.00111
"642",288,-98.7,0.3964,-0.000556,-85.18,0.342,-0.00248,-53.21,0.3905,-0.00112
"643",289,-98.81,0.3964,-0.000626,-85.03,0.3421,-0.00247,-53.21,0.3905,-0.00113
"644",290,-98.91,0.3963,-0.000667,-84.89,0.3422,-0.00246,-53.22,0.3905,-0.00115
"645",291,-99.02,0.3962,-0.000694,-84.77,0.3424,-0.00245,-53.22,0.3905,-0.00114
"646",292,-99.14,0.3962,-0.00071,-84.66,0.3425,-0.00243,-53.22,0.3905,-0.00116
"647",293,-99.25,0.3961,-0.000721,-84.55,0.3425,-0.00241,-53.22,0.3905,-0.00116
"648",294,-99.36,0.396,-0.000726,-84.46,0.3426,-0.00239,-53.22,0.3905,-0.00114
"649",295,-99.48,0.396,-0.00074,-84.38,0.3427,-0.00237,-53.2,0.3905,-0.0011
"650",296,-99.6,0.3959,-0.000743,-84.3,0.3428,-0.00235,-53.19,0.3905,-0.00104
"651",297,-100.32,0.3954,0.00228,-84.23,0.3428,-0.00233,-53.16,0.3905,-0.001
"652",298,-101.01,0.395,0.00358,-84.16,0.3429,-0.00231,-53.14,0.3906,-0.000948
